maturity,model,gap,r2,pval,macro_gain
72,RW,1,0.6944715504264316,3.7951298623717378e-06,0.12115353414873964
72,XGB (Fwd),2,0.19266982324889503,2.5619426124334765e-05,0.13687898225700124
72,XGB (Macro+Fwd),2,0.32954880550589627,9.001699114741246e-05,0.13687898225700124
72,RW,2,0.5413710612910234,1.2144853636097963e-05,0.13687898225700124
72,XGB (Fwd),3,0.08053369825133694,7.169709942889124e-05,0.1483987908418558
72,XGB (Macro+Fwd),3,0.22893248909319275,0.0002598220158397391,0.1483987908418558
72,RW,3,0.38843668310557966,3.406065208400033e-05,0.1483987908418558
72,XGB (Fwd),4,-0.01423569023765614,0.00023028945061509543,0.1349231209020516
72,XGB (Macro+Fwd),4,0.12068743066439547,0.0005522023847922553,0.1349231209020516
72,RW,4,0.24982890217595688,7.80795191089867e-05,0.1349231209020516
72,XGB (Fwd),5,-0.09730751207810662,0.00058705444321272,0.10507642238837722
72,XGB (Macro+Fwd),5,0.007768910310270605,0.001317325844016115,0.10507642238837722
72,RW,5,0.1308331769745159,0.0001371183798174469,0.10507642238837722
72,XGB (Fwd),6,-0.198760678838386,0.0016257860003278113,0.15258261636410375
72,XGB (Macro+Fwd),6,-0.046178062474282244,0.0022288378873974724,0.15258261636410375
72,RW,6,0.02731159276033357,0.00024119271206968218,0.15258261636410375
72,XGB (Fwd),7,-0.27282898879847717,0.004199843589883345,0.16308609296688847
72,XGB (Macro+Fwd),7,-0.1097428958315887,0.003623338987524538,0.16308609296688847
72,RW,7,-0.08845394252662042,0.0006971005909711669,0.16308609296688847
72,XGB (Fwd),8,-0.37876586303547355,0.022669328658939225,0.12122847887654142
72,XGB (Macro+Fwd),8,-0.2575373841589321,0.014354063526717864,0.12122847887654142
72,RW,8,-0.22294868893599173,0.0027569163047354017,0.12122847887654142
72,XGB (Fwd),9,-0.4323957338117763,0.036118534811050984,0.13507624385661687
72,XGB (Macro+Fwd),9,-0.29731948995515944,0.028619390113018728,0.13507624385661687
72,RW,9,-0.38641657181090894,0.01419260920637655,0.13507624385661687
72,XGB (Fwd),10,-0.4901237419723934,0.054516591297186334,0.20303418513000815
72,XGB (Macro+Fwd),10,-0.28708955684238524,0.0325774010694877,0.20303418513000815
72,RW,10,-0.5662983415890492,0.06612859422199002,0.20303418513000815
72,XGB (Fwd),11,-0.5478621509436759,0.06214749122905494,0.16532949059685764
72,XGB (Macro+Fwd),11,-0.3825326603468182,0.051405685473275176,0.16532949059685764
72,RW,11,-0.7352163455940393,0.19404560896909873,0.16532949059685764
84,XGB (Fwd),0,0.48394572851101425,2.2932162883071427e-06,0.06123105709572374
84,XGB (Macro+Fwd),0,0.545176785606738,6.3410500610316944e-06,0.06123105709572374
84,RW,0,0.8517486458427564,4.54088685652998e-07,0.06123105709572374
84,XGB (Fwd),1,0.3053095986572866,7.644955715924162e-06,0.12598765185569527
84,XGB (Macro+Fwd),1,0.43129725051298184,1.8978221368426418e-05,0.12598765185569527
84,RW,1,0.6745082965127465,2.869004043004608e-06,0.12598765185569527
84,XGB (Fwd),2,0.1708622092103771,2.230032240546631e-05,0.14020803662075088
84,XGB (Macro+Fwd),2,0.31107024583112797,2.593616358714801e-05,0.14020803662075088
84,RW,2,0.5226359785386572,9.176591917681165e-06,0.14020803662075088
84,XGB (Fwd),3,0.01528303647120921,8.672450058055947e-05,0.1966460632310728
84,XGB (Macro+Fwd),3,0.21192909970228202,0.0001367792393666134,0.1966460632310728
84,RW,3,0.3644498939528311,2.8132379072620672e-05,0.1966460632310728
84,XGB (Fwd),4,-0.0325884133581551,0.00011081628932285703,0.12369012282551994
84,XGB (Macro+Fwd),4,0.09110170946736484,0.0002239924069266097,0.12369012282551994
84,RW,4,0.2155812933971506,7.58145099588603e-05,0.12369012282551994
84,XGB (Fwd),5,-0.13736882514575677,0.00039214521673014424,0.11707450501558192
84,XGB (Macro+Fwd),5,-0.020294320130174848,0.0013219918729063806,0.11707450501558192
84,RW,5,0.08875323429633208,0.0001564418818893465,0.11707450501558192
84,XGB (Fwd),6,-0.2045139376010383,0.0008841537493033957,0.12001384662967407
84,XGB (Macro+Fwd),6,-0.08450009097136424,0.002422345509127233,0.12001384662967407
84,RW,6,-0.022138887320699352,0.00033704453276206525,0.12001384662967407
84,XGB (Fwd),7,-0.26213144039769376,0.0017856149848972658,0.09607217951974523
84,XGB (Macro+Fwd),7,-0.16605926087794853,0.005905988053403033,0.09607217951974523
84,RW,7,-0.14635132019910246,0.0012122061145380947,0.09607217951974523
84,XGB (Fwd),8,-0.3805856983235363,0.017871847120134454,0.1179979454543072
84,XGB (Macro+Fwd),8,-0.2625877528692291,0.011815502558307434,0.1179979454543072
84,RW,8,-0.2860537879277285,0.005304468067312551,0.1179979454543072
84,XGB (Fwd),9,-0.4643424956380928,0.015904401452330186,0.12620966716658955
84,XGB (Macro+Fwd),9,-0.3381328284715033,0.020972887728199274,0.12620966716658955
84,RW,9,-0.4504868111973337,0.025998914095475723,0.12620966716658955
84,XGB (Fwd),10,-0.51040694316023,0.0254586302121379,0.14627398313006035
84,XGB (Macro+Fwd),10,-0.3641329600301697,0.02761146955539273,0.14627398313006035
84,RW,10,-0.6333249663973686,0.10827901170680532,0.14627398313006035
84,XGB (Fwd),11,-0.5578176274237046,0.034348850723160074,0.1271802682145038
84,XGB (Macro+Fwd),11,-0.43063735920920077,0.04011148085728511,0.1271802682145038
84,RW,11,-0.8055395866422332,0.27784304947587224,0.1271802682145038
96,XGB (Fwd),0,0.4891112188767397,1.0838574362459497e-06,0.041934242642613695
96,XGB (Macro+Fwd),0,0.5310454615193534,3.2129796044833014e-06,0.041934242642613695
96,RW,0,0.8419918309460519,2.6572066569308106e-07,0.041934242642613695
96,XGB (Fwd),1,0.3023672815721685,4.086920607604405e-06,0.0938026309426866
96,XGB (Macro+Fwd),1,0.3961699125148551,8.256504199444237e-06,0.0938026309426866
96,RW,1,0.6576076028827551,2.032192645273767e-06,0.0938026309426866
96,XGB (Fwd),2,0.16403075613338425,1.2621222856945558e-05,0.17089786501940396
96,XGB (Macro+Fwd),2,0.3349286211527882,2.1932914673450377e-05,0.17089786501940396
96,RW,2,0.5052997095068317,6.558319505134413e-06,0.17089786501940396
96,XGB (Fwd),3,0.03879180358361478,3.741045156868683e-05,0.1757941621677509
96,XGB (Macro+Fwd),3,0.21458596575136568,9.973578892874535e-05,0.1757941621677509
96,RW,3,0.3409237454352887,2.2417875699121126e-05,0.1757941621677509
96,XGB (Fwd),4,-0.058008793820164106,4.127445676271879e-05,0.09234210960503031
96,XGB (Macro+Fwd),4,0.0343333157848662,0.00032715143323169826,0.09234210960503031
96,RW,4,0.18258912590986254,7.111841046170131e-05,0.09234210960503031
96,XGB (Fwd),5,-0.15890787302360931,0.00023098011200817226,0.052390970191355635
96,XGB (Macro+Fwd),5,-0.10651690283225368,0.0010441495380704158,0.052390970191355635
96,RW,5,0.04813728457698874,0.00017330996156350587,0.052390970191355635
96,XGB (Fwd),6,-0.2330333875060524,0.000498783509480516,0.025967628730098058
96,XGB (Macro+Fwd),6,-0.20706575877595434,0.004166910489607711,0.025967628730098058
96,RW,6,-0.07034744861257192,0.00045616585432628476,0.025967628730098058
96,XGB (Fwd),7,-0.2614498087482662,0.0008063710611091457,0.04771868544698288
96,XGB (Macro+Fwd),7,-0.2137311233012833,0.006181276041327566,0.04771868544698288
96,RW,7,-0.20279661212108713,0.001986969758036694,0.04771868544698288
96,XGB (Fwd),8,-0.4104074755720024,0.005887425125644663,0.23017685249164765
96,XGB (Macro+Fwd),8,-0.18023062308035476,0.008732502617205484,0.23017685249164765
96,RW,8,-0.3466993088277335,0.009191510163669148,0.23017685249164765
96,XGB (Fwd),9,-0.4822318712056861,0.007968931476599161,0.15108495643738173
96,XGB (Macro+Fwd),9,-0.3311469147683044,0.015869320215960436,0.15108495643738173
96,RW,9,-0.5104879566756073,0.041850228672859036,0.15108495643738173
96,XGB (Fwd),10,-0.4727077463733764,0.010293616640636771,0.2185707885424042
96,XGB (Macro+Fwd),10,-0.25413695783097223,0.02466633584927913,0.2185707885424042
96,RW,10,-0.6946461493604592,0.15600810168611567,0.2185707885424042
96,XGB (Fwd),11,-0.5586952999019372,0.025535340990551214,0.2324578112980744
96,XGB (Macro+Fwd),11,-0.3262374886038628,0.030279034559472007,0.2324578112980744
96,RW,11,-0.8693001877320259,0.3584305061739177,0.2324578112980744
108,XGB (Fwd),0,0.49618710075804573,4.817769446718856e-07,0.012563791533854118
108,XGB (Macro+Fwd),0,0.5087508922918998,1.631925505396481e-06,0.012563791533854118
108,RW,0,0.8370646770585484,1.9709746501561654e-07,0.012563791533854118
108,XGB (Fwd),1,0.24253717260410013,1.53547350066896e-05,0.13488768565376297
108,XGB (Macro+Fwd),1,0.3774248582578631,5.44655756595791e-06,0.13488768565376297
108,RW,1,0.6488075890522165,1.6421715381964574e-06,0.13488768565376297
108,XGB (Fwd),2,0.160542732408961,6.5117455976260175e-06,0.09942599187538959
108,XGB (Macro+Fwd),2,0.2599687242843506,1.5191547558135454e-05,0.09942599187538959
108,RW,2,0.4944480972857871,5.273879183698149e-06,0.09942599187538959
108,XGB (Fwd),3,0.04453794571065384,1.9028812298538256e-05,0.08467669231385389
108,XGB (Macro+Fwd),3,0.12921463802450772,3.909486142905649e-05,0.08467669231385389
108,RW,3,0.3249273599998438,1.935498520355683e-05,0.08467669231385389
108,XGB (Fwd),4,-0.05915763063309565,2.7343033151439045e-05,0.042370056631365394
108,XGB (Macro+Fwd),4,-0.016787574001730254,0.00015532761167569298,0.042370056631365394
108,RW,4,0.1597217653267059,6.814783220987497e-05,0.042370056631365394
108,XGB (Fwd),5,-0.1317933822420163,0.00010390433861584558,0.004307499239892154
108,XGB (Macro+Fwd),5,-0.12748588300212416,0.0006910841731998518,0.004307499239892154
108,RW,5,0.019860508664925725,0.00018513450874524384,0.004307499239892154
108,XGB (Fwd),6,-0.19917802336489232,0.00021856620332239007,-0.007262290919172409
108,XGB (Macro+Fwd),6,-0.20644031428406473,0.0020359807334648927,-0.007262290919172409
108,RW,6,-0.10479101266594726,0.0005636229541723381,-0.007262290919172409
108,XGB (Fwd),7,-0.2501762096074067,0.0004646932792460312,-0.009968492002653484
108,XGB (Macro+Fwd),7,-0.2601447016100602,0.004439056482738235,-0.009968492002653484
108,RW,7,-0.24430150095485992,0.002817478295269349,-0.009968492002653484
108,XGB (Fwd),8,-0.341702752872483,0.0033966231469008124,0.15615597479687104
108,XGB (Macro+Fwd),8,-0.18554677807561193,0.006746069085694195,0.15615597479687104
108,RW,8,-0.3913263660552191,0.01334765239613056,0.15615597479687104
108,XGB (Fwd),9,-0.3984154005067342,0.01392968200115896,0.029269842014701508
108,XGB (Macro+Fwd),9,-0.3691455584920327,0.01571300869453829,0.029269842014701508
108,RW,9,-0.554369940613801,0.057010694241249826,0.029269842014701508
108,XGB (Fwd),10,-0.43175856708944416,0.007333242316299948,0.12664428271091022
108,XGB (Macro+Fwd),10,-0.30511428437853394,0.02312600100566542,0.12664428271091022
108,RW,10,-0.7387613535639763,0.19517270215945515,0.12664428271091022
108,XGB (Fwd),11,-0.48379690477105375,0.01179813294612686,0.17626898323128382
108,XGB (Macro+Fwd),11,-0.30752792153976993,0.022700380285231914,0.17626898323128382
108,RW,11,-0.9146865813011213,0.41570714346025295,0.17626898323128382
120,XGB (Fwd),0,0.4978121187004597,4.313133342703779e-07,0.03252409202543516
120,XGB (Macro+Fwd),0,0.5303362107258949,2.204393696469964e-06,0.03252409202543516
120,RW,0,0.8338555244868213,2.066642613707259e-07,0.03252409202543516
120,XGB (Fwd),1,0.31213059356179285,1.7964806944270606e-06,0.05503204993521993
120,XGB (Macro+Fwd),1,0.3671626434970128,2.83227862152291e-06,0.05503204993521993
120,RW,1,0.6437669870738953,1.721702486245924e-06,0.05503204993521993
120,XGB (Fwd),2,0.13995522637991642,2.9763755139633474e-05,0.17434466463314124
120,XGB (Macro+Fwd),2,0.31429989101305766,1.766859272378518e-05,0.17434466463314124
120,RW,2,0.48844913007218327,5.17377629971616e-06,0.17434466463314124
120,XGB (Fwd),3,0.0561108183022645,1.1187182705763021e-05,0.05747833335425423
120,XGB (Macro+Fwd),3,0.11358915165651873,4.7910885245250334e-05,0.05747833335425423
120,RW,3,0.3155238904330304,1.938056029759938e-05,0.05747833335425423
120,XGB (Fwd),4,-0.020679165863302984,1.2021814060569902e-05,0.12541376032604856
120,XGB (Macro+Fwd),4,0.10473459446274558,0.00020302907409108784,0.12541376032604856
120,RW,4,0.1456544915048157,7.183477029082397e-05,0.12541376032604856
120,XGB (Fwd),5,-0.09564742917741231,4.899194593699363e-05,0.028063929772894847
120,XGB (Macro+Fwd),5,-0.06758349940451747,0.0005030460371719947,0.028063929772894847
120,RW,5,0.0033640353908231946,0.00020351703493137752,0.028063929772894847
120,XGB (Fwd),6,-0.16837773024401304,0.00011699232964890172,0.007141632264780595
120,XGB (Macro+Fwd),6,-0.16123609797923244,0.0012936031457895236,0.007141632264780595
120,RW,6,-0.1256742988039634,0.0006809651593790988,0.007141632264780595
120,XGB (Fwd),7,-0.2698837542962993,0.0006926704512584259,0.01988033377355536
120,XGB (Macro+Fwd),7,-0.25000342052274394,0.0033597041086907975,0.01988033377355536
120,RW,7,-0.27071812252569405,0.0037276611316756636,0.01988033377355536
120,XGB (Fwd),8,-0.32846089192822636,0.002089508921889416,0.15056804115373712
120,XGB (Macro+Fwd),8,-0.17789285077448924,0.007427856415057832,0.15056804115373712
120,RW,8,-0.4203749934877097,0.017715187939988275,0.15056804115373712
120,XGB (Fwd),9,-0.30836705129444675,0.0035564880504103114,0.08588182565065905
120,XGB (Macro+Fwd),9,-0.2224852256437877,0.00952138879936848,0.08588182565065905
120,RW,9,-0.5828585111758315,0.07086972211055886,0.08588182565065905
120,XGB (Fwd),10,-0.39390948421560545,0.005196794272198102,-0.020368415896633962
120,XGB (Macro+Fwd),10,-0.4142779001122394,0.02451219561622453,-0.020368415896633962
120,RW,10,-0.7677641292179309,0.22588869346830442,-0.020368415896633962
120,XGB (Fwd),11,-0.43536617679012957,0.007732729055865528,0.1378943472469012
120,XGB (Macro+Fwd),11,-0.29747182954322837,0.015898066049455317,0.1378943472469012
120,RW,11,-0.9448102852428637,0.4544867295021986,0.1378943472469012
