run_id,time_now,model,maturity,eval_period,eval_end,r2_oos,rsz_pvalue,dataset,start_date,end_date,revised_macro_static_X,expanding_window_realtime,frequency,gap,winsorized
20260603_093039,2026-06-03 10:50:22,ElasticNet 10 forwards + macro (direct),36,2025,2025-06-30,-0.22847273986535344,0.2778055880255754,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 11:18:08,ElasticNet 10 forwards + macro (direct),48,2018,2018-12-31,-0.20230725128176208,0.1813976812660033,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 11:18:08,ElasticNet 10 forwards + macro (direct),48,2025,2025-06-30,-0.2001124878764815,0.22086020545804042,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 11:48:27,ElasticNet 10 forwards + macro (direct),60,2018,2018-12-31,-0.1697543523658973,0.1772345508089861,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 11:48:27,ElasticNet 10 forwards + macro (direct),60,2025,2025-06-30,-0.1268948365890601,0.15254842919947664,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 12:20:50,ElasticNet 10 forwards + macro (direct),84,2018,2018-12-31,-0.08709575968768579,0.03722057263569378,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 12:20:50,ElasticNet 10 forwards + macro (direct),84,2025,2025-06-30,-0.06295708046430448,0.02918941233883865,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 12:55:38,ElasticNet 10 forwards + macro (direct),120,2018,2018-12-31,-0.014985287375364198,0.01878352738512712,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 12:55:38,ElasticNet 10 forwards + macro (direct),120,2025,2025-06-30,-0.029693583767756104,0.031268290534744,kr,1971-08-31,2025-06-30,False,True,annual,11,False
20260603_093039,2026-06-03 12:58:01,ElasticNet fwd-only (10),24,2018,2018-12-31,-0.14556476693016562,0.9718095373288347,kr,1971-08-31,2025-06-30,False,True,annual,11,False
