run_id,model,maturity,winsorized,frequency,gap,dataset,revised_macro_static_X,expanding_window_realtime,eval_period,eval_end_nominal,eval_end_effective,n_oos,r2_oos,rsz_pvalue
20260603_093039,ElasticNet fwd-only (10),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1350840789231884,0.9658850312104096
20260603_093039,ElasticNet fwd-only (10),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.08499994969277758,0.7727442776273179
20260603_093039,ElasticNet fwd-only (10),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.159280609553889,0.7448666381516421
20260603_093039,ElasticNet fwd-only (10),36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.1387069256705571,0.7368104457933886
20260603_093039,ElasticNet fwd-only (10),48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1485853619283124,0.6545232029456162
20260603_093039,ElasticNet fwd-only (10),48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.15522763307581688,0.7684061665506696
20260603_093039,ElasticNet fwd-only (10),60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.14131239122339223,0.6622994239667739
20260603_093039,ElasticNet fwd-only (10),60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.16976957822951877,0.8401411844897154
20260603_093039,ElasticNet fwd-only (10),84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1852406493440364,0.7811717664108859
20260603_093039,ElasticNet fwd-only (10),84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.22511088400085733,0.9165582089035877
20260603_093039,ElasticNet fwd-only (10),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.17933932339545744,0.6735691555431028
20260603_093039,ElasticNet fwd-only (10),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.22654467672844358,0.8517900811540124
20260603_093039,L&N (2009),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.21103646068325532,0.01630839320190325
20260603_093039,L&N (2009),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2069.3519608830347,0.06736774288625957
20260603_093039,L&N (2009),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13571333022569831,0.01788578973080379
20260603_093039,L&N (2009),36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2012.037866239403,0.07860612301686343
20260603_093039,L&N (2009),48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10449255270557112,0.015270379018946012
20260603_093039,L&N (2009),48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2096.837482407937,0.09454589309478789
20260603_093039,L&N (2009),60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07696554161093383,0.015251521975030546
20260603_093039,L&N (2009),60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-2095.109109618735,0.11153667409778534
20260603_093039,L&N (2009),84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07636583438313549,0.015636914960286297
20260603_093039,L&N (2009),84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1930.9343203718095,0.12802610605812847
20260603_093039,L&N (2009),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.06667113424659177,0.01537549038944297
20260603_093039,L&N (2009),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-1623.2173137435555,0.13798169709729868
20260603_093039,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.20713952152026271,0.018152789089959764
20260603_093039,L&N (2009) (winsor),24,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.18934120500423135,0.004323682736836365
20260603_093039,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13213889900627884,0.019381534334878325
20260603_093039,L&N (2009) (winsor),36,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.14931810288633063,0.005910264784644292
20260603_093039,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.10303899313271025,0.01668047996320876
20260603_093039,L&N (2009) (winsor),48,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.14515225709472324,0.005984642287208186
20260603_093039,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07581140320766444,0.016559667659743815
20260603_093039,L&N (2009) (winsor),60,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.1360286813052869,0.006902906798588848
20260603_093039,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.07516655812093886,0.016916048472508494
20260603_093039,L&N (2009) (winsor),84,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.13883895250482925,0.007622536084741061
20260603_093039,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.0641769534756087,0.01612333857771686
20260603_093039,L&N (2009) (winsor),120,True,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.12262995774911167,0.008079299349383118
20260603_093039,"PCR forward (10 fwds, 3 PCs)",24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.37340889752338535,0.41965191609425423
20260603_093039,"PCR forward (10 fwds, 3 PCs)",24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.26408799867583266,0.27115214370752927
20260603_093039,"PCR forward (10 fwds, 3 PCs)",36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.26758643650949154,0.3975482519032738
20260603_093039,"PCR forward (10 fwds, 3 PCs)",36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.20967386695625878,0.2903687896207994
20260603_093039,"PCR forward (10 fwds, 3 PCs)",48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.2083892046027327,0.2537716520983442
20260603_093039,"PCR forward (10 fwds, 3 PCs)",48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.18349855042620322,0.19382617890895704
20260603_093039,"PCR forward (10 fwds, 3 PCs)",60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.13523077244257653,0.15076939072592066
20260603_093039,"PCR forward (10 fwds, 3 PCs)",60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.14276200081984824,0.1288009893760408
20260603_093039,"PCR forward (10 fwds, 3 PCs)",84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.09748456469900035,0.07434995928532018
20260603_093039,"PCR forward (10 fwds, 3 PCs)",84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.12428848844257523,0.06550625102160934
20260603_093039,"PCR forward (10 fwds, 3 PCs)",120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,0.027296400330865445,0.01590982676491126
20260603_093039,"PCR forward (10 fwds, 3 PCs)",120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.023404822800952463,0.015379751460163238
20260603_154208,ElasticNet 10 forwards + macro (direct),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.01447585296475773,0.018608076326905754
20260603_154208,ElasticNet 10 forwards + macro (direct),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.029693583767755882,0.03126829053474467
20260604_085253,ElasticNet fwd-only (10),24,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1350840789231884,0.9658850312104096
20260604_085253,ElasticNet fwd-only (10),24,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.08499994969277758,0.7727442776273179
20260604_085253,ElasticNet fwd-only (10),36,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.159280609553889,0.7448666381516421
20260604_085253,ElasticNet fwd-only (10),36,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.1387069256705571,0.7368104457933886
20260604_085253,ElasticNet fwd-only (10),48,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1485853619283124,0.6545232029456162
20260604_085253,ElasticNet fwd-only (10),48,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.15522763307581688,0.7684061665506696
20260604_085253,ElasticNet fwd-only (10),60,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.14131239122339223,0.6622994239667739
20260604_085253,ElasticNet fwd-only (10),60,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.16976957822951877,0.8401411844897154
20260604_085253,ElasticNet fwd-only (10),84,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.1852406493440364,0.7811717664108859
20260604_085253,ElasticNet fwd-only (10),84,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.22511088400085733,0.9165582089035877
20260604_085253,ElasticNet fwd-only (10),120,False,annual,11,kr,False,True,2018,2018-12-31,2017-12-31,336,-0.17933932339545744,0.6735691555431028
20260604_085253,ElasticNet fwd-only (10),120,False,annual,11,kr,False,True,2025,2025-06-30,2024-06-30,414,-0.22654467672844358,0.8517900811540124
20260607_111806,L&N (2009),24,False,monthly,0,kr,False,True,2018,2018-12-31,2018-11-30,347,-0.18719838386716625,0.021422062976329093
20260607_111806,L&N (2009),24,False,monthly,0,kr,False,True,2025,2025-06-30,2025-05-31,425,-122.76797731776004,0.00245898722618898
20260607_111806,L&N (2009),36,False,monthly,0,kr,False,True,2018,2018-12-31,2018-11-30,347,-0.10532741694229752,0.017213342734567427
20260607_111806,L&N (2009),36,False,monthly,0,kr,False,True,2025,2025-06-30,2025-05-31,425,-109.24838364338096,0.1229051519005705
20260607_111806,L&N (2009),48,False,monthly,0,kr,False,True,2018,2018-12-31,2018-11-30,347,-0.0715286484637141,0.024810212294911205
20260607_111806,L&N (2009),48,False,monthly,0,kr,False,True,2025,2025-06-30,2025-05-31,425,-113.52453038139845,0.6031684819401564
20260607_111806,L&N (2009),60,False,monthly,0,kr,False,True,2018,2018-12-31,2018-11-30,347,-0.05354836816075936,0.02104267699023732
20260607_111806,L&N (2009),60,False,monthly,0,kr,False,True,2025,2025-06-30,2025-05-31,425,-108.12174036407109,0.6092914375879052
20260607_111806,L&N (2009),84,False,monthly,0,kr,False,True,2018,2018-12-31,2018-11-30,347,-0.04578564379542427,0.03063900013382903
20260607_111806,L&N (2009),84,False,monthly,0,kr,False,True,2025,2025-06-30,2025-05-31,425,-124.890431218734,0.4612047909109881
20260607_111806,L&N (2009),120,False,monthly,0,kr,False,True,2018,2018-12-31,2018-11-30,347,-0.02988562865920974,0.02570375534572722
20260607_111806,L&N (2009),120,False,monthly,0,kr,False,True,2025,2025-06-30,2025-05-31,425,-97.6753042996886,0.0725921606045723
20260607_111806,L&N (2009) (winsor),24,True,monthly,0,kr,False,True,2018,2018-12-31,2018-11-30,347,-0.13745263015435016,0.014979754808102874
